Office,Taluk,District,State,Pincode
Aimurikara,Kunnathunad,Ernakulam,KERALA,683544
Airapuram,Kunnathunad,Ernakulam,KERALA,683541
Airoopadam,Kothamangalam,Ernakulam,KERALA,686692
Airoor,Paravur,Ernakulam,KERALA,683579
Alangad,Paravur,Ernakulam,KERALA,683511
Alattuchira,Kunnathunad,Ernakulam,KERALA,683544
Allapra,Kunnathunad,Ernakulam,KERALA,683556
Aluva Bazar,Aluva,Ernakulam,KERALA,683101
Aluva,Aluva,Ernakulam,KERALA,683101
Aluva Town Bus Stand,Aluva,Ernakulam,KERALA,683101
Aluva asokapuram,Aluva,Ernakulam,KERALA,683101
Anappara kalady,Aluva,Ernakulam,KERALA,683581
Anchelpetty,Muvattupuzha,Ernakulam,KERALA,686667
Angamally,Paravur,Ernakulam,KERALA,683572
Angamally South,Aluva,Ernakulam,KERALA,683573
Arakuzha,Muvattupuzha,Ernakulam,KERALA,686672
Aruvappara,Kunnathunad,Ernakulam,KERALA,683545
Asamannoor,Kunnathunad,Ernakulam,KERALA,683549
Athani Ernakulam,Aluva,Ernakulam,KERALA,683585
Avoly,Muvattupuzha,Ernakulam,KERALA,686670
Ayavana,Muvattupuzha,Ernakulam,KERALA,686668
Ayyampuzha,Aluva,Ernakulam,KERALA,683581
Azhakam,Aluva,Ernakulam,KERALA,683577
Bhoothathankettu,Kothamangalam,Ernakulam,KERALA,686681
Binanipuram,Paravur,Ernakulam,KERALA,683502
Chathamattam,Kothamangalam,Ernakulam,KERALA,686671
Chelad Junction,Kothamangalam,Ernakulam,KERALA,686681
Chendamangalam,Paravur,Ernakulam,KERALA,683512
Chengamanad,Paravur,Ernakulam,KERALA,683578
Cherai,Paravur,Ernakulam,KERALA,683514
CheranalloorPBR,Kunnathunad,Ernakulam,KERALA,683544
Cheruvattoor,Kothamangalam,Ernakulam,KERALA,686691
Choondakuzhy,Kunnathunad,Ernakulam,KERALA,683546
Chowara,Aluva,Ernakulam,KERALA,683571
Chully,Aluva,Ernakulam,KERALA,683581
Desom,Aluva,Ernakulam,KERALA,683102
Edathala North,Aluva,Ernakulam,KERALA,683561
Edathala,Aluva,Ernakulam,KERALA,683561
Edavoor,Kunnathunad,Ernakulam,KERALA,683544
Edayar,Muvattupuzha,Ernakulam,KERALA,686662
Elanji,Muvattupuzha,Ernakulam,KERALA,686665
Elanthikara,Paravur,Ernakulam,KERALA,683594
Elavoor,Aluva,Ernakulam,KERALA,683572
Enanalloor,Muvattupuzha,Ernakulam,KERALA,686673
Erumathala,Kunnathunad,Ernakulam,KERALA,683112
Ezhattumugham,Aluva,Ernakulam,KERALA,683577
Ezhikkara,Paravur,Ernakulam,KERALA,683513
Gothuruthy,Paravur,Ernakulam,KERALA,683516
Idamalayar,Kothamangalam,Ernakulam,KERALA,686681
Illambakapalli,Kunnathunad,Ernakulam,KERALA,683544
Inchathotty,Kothamangalam,Ernakulam,KERALA,686681
Iramalloor,Kothamangalam,Ernakulam,KERALA,686691
Iringole,Kunnathunad,Ernakulam,KERALA,683545
Kadakkanad,Kunnathunad,Ernakulam,KERALA,682311
Kadalikkad,Muvattupuzha,Ernakulam,KERALA,686670
Kadamattam,Kunnathunad,Ernakulam,KERALA,682311
Kadavoor,Kothamangalam,Ernakulam,KERALA,686671
Kadayirippu,Kunnathunad,Ernakulam,KERALA,682311
Kaitharam,Paravur,Ernakulam,KERALA,683519
Kakkad,Muvattupuzha,Ernakulam,KERALA,686664
Kakkoor,Muvattupuzha,Ernakulam,KERALA,686662
Kalady Plantation,Aluva,Ernakulam,KERALA,683581
Kalady,Aluva,Ernakulam,KERALA,683574
Kalampoor,Muvattupuzha,Ernakulam,KERALA,686664
Kalloorkkad,Muvattupuzha,Ernakulam,KERALA,686668
Kaloor,Muvattupuzha,Ernakulam,KERALA,686668
Kanjoor,Aluva,Ernakulam,KERALA,683575
Karamala,Muvattupuzha,Ernakulam,KERALA,686662
Karimpana,Muvattupuzha,Ernakulam,KERALA,686662
Karukadom,Kothamangalam,Ernakulam,KERALA,686691
Karukappilli,Kunnathunad,Ernakulam,KERALA,682311
Karukutty,Aluva,Ernakulam,KERALA,683576
Karumalloor,Paravur,Ernakulam,KERALA,683511
Kavakkad,Muvattupuzha,Ernakulam,KERALA,686668
Keerampara,Kothamangalam,Ernakulam,KERALA,686681
Keezhillam,Kunnathunad,Ernakulam,KERALA,683541
Kidangoor,Aluva,Ernakulam,KERALA,683572
Kinginimattom,Kunnathunad,Ernakulam,KERALA,682311
